WS Map_uicombfhp_data
Legal Town,Heat Pump Type,RNC,Sector,Source Program Name,Utility,Year,LEGAL TOWN,Program,Source Program,Project Measure: Measure Total Quantity
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,2
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,2
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,2
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,2
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2018,BRANFORD,CLMTRS,,2
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
Branford,"Air Source Heat Pump, Mini Split",Not RNC,RES,,Eversource,2019,BRANFORD,CLMTRS,,1
